,treatment_id,assay_id,sample_id,area_under_curve
72,D36E+HopAA1-1_Bacterial PAMPs,plate027,plate027_E_10,8.887917127592498
73,D36E+HopAA1-1_Bacterial PAMPs,plate027,plate027_E_4,9.697418321240283
74,D36E+HopAA1-1_Bacterial PAMPs,plate027,plate027_F_10,11.602652038054401
75,D36E+HopAA1-1_Bacterial PAMPs,plate027,plate027_F_4,7.690650033521289
76,D36E+HopAA1-1_Bacterial PAMPs,plate027,plate027_G_10,9.281073530437565
77,D36E+HopAA1-1_Bacterial PAMPs,plate027,plate027_G_4,7.508607673848189
78,D36E+HopAA1-1_Bacterial PAMPs,plate027,plate027_H_10,7.40035254743554
79,D36E+HopAA1-1_Bacterial PAMPs,plate027,plate027_H_4,9.069275055059833
80,D36E+HopAA1-2_Bacterial PAMPs,plate028,plate028_A_3,7.687134924742643
81,D36E+HopAA1-2_Bacterial PAMPs,plate028,plate028_A_9,7.48103027075254
82,D36E+HopAA1-2_Bacterial PAMPs,plate028,plate028_B_3,4.5644847177596315
83,D36E+HopAA1-2_Bacterial PAMPs,plate028,plate028_B_9,9.34907164249473
84,D36E+HopAA1-2_Bacterial PAMPs,plate028,plate028_C_3,9.443522835112198
85,D36E+HopAA1-2_Bacterial PAMPs,plate028,plate028_C_9,7.52752705125657
86,D36E+HopAA1-2_Bacterial PAMPs,plate028,plate028_D_3,5.523035977648286
87,D36E+HopAA1-2_Bacterial PAMPs,plate028,plate028_D_9,5.875904086165545
88,D36E+HopAA1-2_Bacterial PAMPs,plate028,plate028_E_3,17.39798242244739
89,D36E+HopAA1-2_Bacterial PAMPs,plate028,plate028_E_9,6.25683895682722
90,D36E+HopAA1-2_Bacterial PAMPs,plate028,plate028_F_3,15.142713319060874
91,D36E+HopAA1-2_Bacterial PAMPs,plate028,plate028_F_9,14.90063234932575
92,D36E+HopAA1-2_Bacterial PAMPs,plate028,plate028_G_3,5.499511060326719
93,D36E+HopAA1-2_Bacterial PAMPs,plate028,plate028_G_9,7.494644934276608
94,D36E+HopAA1-2_Bacterial PAMPs,plate028,plate028_H_3,4.6226158163276105
95,D36E+HopAA1-2_Bacterial PAMPs,plate028,plate028_H_9,8.90563796674524
96,D36E+HopAD1_Bacterial PAMPs,plate031,plate031_A_10,-0.10949701521211178
97,D36E+HopAD1_Bacterial PAMPs,plate031,plate031_A_4,-2.3737706421636946
98,D36E+HopAD1_Bacterial PAMPs,plate031,plate031_B_10,1.2553535417951194
99,D36E+HopAD1_Bacterial PAMPs,plate031,plate031_B_4,0.7178999408315108
100,D36E+HopAD1_Bacterial PAMPs,plate031,plate031_C_10,0.395204628329527
101,D36E+HopAD1_Bacterial PAMPs,plate031,plate031_C_4,-0.028460085611258956
102,D36E+HopAD1_Bacterial PAMPs,plate031,plate031_D_10,3.8514953098266775
103,D36E+HopAD1_Bacterial PAMPs,plate031,plate031_D_4,-1.3149210383069387
104,D36E+HopAD1_Bacterial PAMPs,plate031,plate031_E_10,-0.41405319011978137
105,D36E+HopAD1_Bacterial PAMPs,plate031,plate031_E_4,-0.3710470397764258
106,D36E+HopAD1_Bacterial PAMPs,plate031,plate031_F_10,0.7196424863783948
107,D36E+HopAD1_Bacterial PAMPs,plate031,plate031_F_4,-1.1186550659338967
108,D36E+HopAD1_Bacterial PAMPs,plate031,plate031_G_10,0.7325048335796637
109,D36E+HopAD1_Bacterial PAMPs,plate031,plate031_G_4,-0.020974507959830663
110,D36E+HopAD1_Bacterial PAMPs,plate031,plate031_H_10,-1.4429713511973277
111,D36E+HopAD1_Bacterial PAMPs,plate031,plate031_H_4,1.0292691413386865
112,D36E+HopAD1_Bacterial PAMPs,plate037,plate037_A_10,-11.169134566329518
113,D36E+HopAD1_Bacterial PAMPs,plate037,plate037_A_4,-11.358387536647024
114,D36E+HopAD1_Bacterial PAMPs,plate037,plate037_B_10,6.525286765705843
115,D36E+HopAD1_Bacterial PAMPs,plate037,plate037_B_4,-1.8425427694111547
116,D36E+HopAD1_Bacterial PAMPs,plate037,plate037_C_10,11.627833599354245
117,D36E+HopAD1_Bacterial PAMPs,plate037,plate037_C_4,2.2373510034829716
118,D36E+HopAD1_Bacterial PAMPs,plate037,plate037_D_10,-6.942877204705789
119,D36E+HopAD1_Bacterial PAMPs,plate037,plate037_D_4,-2.884994793917238
120,D36E+HopAD1_Bacterial PAMPs,plate037,plate037_E_10,-2.279946108890103
121,D36E+HopAD1_Bacterial PAMPs,plate037,plate037_E_4,3.2497434636726776
122,D36E+HopAD1_Bacterial PAMPs,plate037,plate037_F_10,1.6681360409008528
123,D36E+HopAD1_Bacterial PAMPs,plate037,plate037_F_4,1.3956375160187802
124,D36E+HopAD1_Bacterial PAMPs,plate037,plate037_G_10,2.9579541872706994
125,D36E+HopAD1_Bacterial PAMPs,plate037,plate037_G_4,0.5999117515467911
126,D36E+HopAD1_Bacterial PAMPs,plate037,plate037_H_10,2.21999425944126
127,D36E+HopAD1_Bacterial PAMPs,plate037,plate037_H_4,-1.9316978706006283
128,D36E+HopAF1_Bacterial PAMPs,plate029,plate029_A_3,-1.8937184222239578
129,D36E+HopAF1_Bacterial PAMPs,plate029,plate029_A_9,-1.1349047435192647
130,D36E+HopAF1_Bacterial PAMPs,plate029,plate029_B_3,0.49572691007757164
131,D36E+HopAF1_Bacterial PAMPs,plate029,plate029_B_9,-1.6865650023015768
132,D36E+HopAF1_Bacterial PAMPs,plate029,plate029_C_3,0.4513949159899085
133,D36E+HopAF1_Bacterial PAMPs,plate029,plate029_C_9,0.47199719937461443
134,D36E+HopAF1_Bacterial PAMPs,plate029,plate029_D_3,0.8273183532885091
135,D36E+HopAF1_Bacterial PAMPs,plate029,plate029_D_9,-0.808338226187171
136,D36E+HopAF1_Bacterial PAMPs,plate029,plate029_E_3,-0.478620313111934
137,D36E+HopAF1_Bacterial PAMPs,plate029,plate029_E_9,-0.04224695805956953
138,D36E+HopAF1_Bacterial PAMPs,plate029,plate029_F_3,1.4150148503067723
139,D36E+HopAF1_Bacterial PAMPs,plate029,plate029_F_9,0.7704351458656837
140,D36E+HopAF1_Bacterial PAMPs,plate029,plate029_G_3,0.9833656347087715
141,D36E+HopAF1_Bacterial PAMPs,plate029,plate029_G_9,1.4442751449085858
142,D36E+HopAF1_Bacterial PAMPs,plate029,plate029_H_3,0.4560507555822628
143,D36E+HopAF1_Bacterial PAMPs,plate029,plate029_H_9,3.447312894852898
144,D36E+HopAF1_Bacterial PAMPs,plate036,plate036_A_3,15.218597325450386
145,D36E+HopAF1_Bacterial PAMPs,plate036,plate036_A_9,12.326287421502172
146,D36E+HopAF1_Bacterial PAMPs,plate036,plate036_B_3,12.564830623643854
147,D36E+HopAF1_Bacterial PAMPs,plate036,plate036_B_9,12.033054153721908
148,D36E+HopAF1_Bacterial PAMPs,plate036,plate036_C_3,10.00482909638265
149,D36E+HopAF1_Bacterial PAMPs,plate036,plate036_C_9,12.415294848260178
150,D36E+HopAF1_Bacterial PAMPs,plate036,plate036_D_3,12.134205422957477
151,D36E+HopAF1_Bacterial PAMPs,plate036,plate036_D_9,15.744792831668885
152,D36E+HopAF1_Bacterial PAMPs,plate036,plate036_E_3,13.137547278374296
153,D36E+HopAF1_Bacterial PAMPs,plate036,plate036_E_9,11.595023569339418
154,D36E+HopAF1_Bacterial PAMPs,plate036,plate036_F_3,15.543180683029643
155,D36E+HopAF1_Bacterial PAMPs,plate036,plate036_F_9,17.22664230734097
156,D36E+HopAF1_Bacterial PAMPs,plate036,plate036_G_3,15.30483331940774
157,D36E+HopAF1_Bacterial PAMPs,plate036,plate036_G_9,15.865885227690669
158,D36E+HopAF1_Bacterial PAMPs,plate036,plate036_H_3,13.703973280360046
159,D36E+HopAF1_Bacterial PAMPs,plate036,plate036_H_9,10.112173163494653
160,D36E+HopAM1_Bacterial PAMPs,plate029,plate029_A_10,-5.976623029756372
161,D36E+HopAM1_Bacterial PAMPs,plate029,plate029_A_4,0.5840944235042366
162,D36E+HopAM1_Bacterial PAMPs,plate029,plate029_B_10,-1.8715598182450761
163,D36E+HopAM1_Bacterial PAMPs,plate029,plate029_B_4,2.447736144028756
164,D36E+HopAM1_Bacterial PAMPs,plate029,plate029_C_10,-2.8591633278370487
165,D36E+HopAM1_Bacterial PAMPs,plate029,plate029_C_4,-2.5852407139730227
166,D36E+HopAM1_Bacterial PAMPs,plate029,plate029_D_10,3.2731403539278454
167,D36E+HopAM1_Bacterial PAMPs,plate029,plate029_D_4,-2.5469955120690053
168,D36E+HopAM1_Bacterial PAMPs,plate029,plate029_E_10,-2.461440839970478
169,D36E+HopAM1_Bacterial PAMPs,plate029,plate029_E_4,2.2373877150779795
170,D36E+HopAM1_Bacterial PAMPs,plate029,plate029_F_10,5.83214721795396
